"record_id","stage","reviewer","inclusion_decision","exclusion_reason","notes","date"
"CANON-00039","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX01_NOT_VIETNAM","Mô hình học máy và lý thuyết mạng dự báo bệnh tật thuần kỹ thuật không có bối cảnh Việt Nam và không có quản trị AI.","2026-08-02"
"CANON-00040","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu hệ thống AI LLM hỏi đáp đa bước trên văn bản quy phạm pháp luật y tế Việt Nam ViHERMES.","2026-08-02"
"CANON-00041","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Nghiên cứu xử lý ngôn ngữ tự nhiên nhận diện khủng hoảng trong văn bản tiếng Việt thuần kỹ thuật benchmark mô hình.","2026-08-02"
"CANON-00042","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX02_NOT_HEALTHCARE","Mô hình RAG hỏi đáp văn bản pháp luật VN tổng quát không thuộc bối cảnh quản trị y tế chuyên biệt.","2026-08-02"
"CANON-00044","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình học máy dự báo nguy cơ đột quỵ thuần kỹ thuật lâm sàng không có nội dung quản trị hay đạo đức AI.","2026-08-02"
"CANON-00045","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Thiết kế hệ thống cảm biến phòng hậu phẫu thuần phần cứng kỹ thuật không bàn về quản trị hay đạo đức AI.","2026-08-02"
"CANON-00048","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu thể chế và khía cạnh đạo đức xã hội trong triển khai AI y tế tại Việt Nam trên tạp chí AI Society.","2026-08-02"
"CANON-00052","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Nghiên cứu sàng lọc tự kỷ bằng thuật toán ML thuần hiệu năng lâm sàng không có phân tích quản trị hay đạo đức.","2026-08-02"
"CANON-00057","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình ML dự báo nguy cơ dịch bệnh y tế công cộng thuần kỹ thuật thuật toán không bàn về quản trị hay đạo đức.","2026-08-02"
"CANON-00059","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX01_NOT_VIETNAM","Chương sách phân tích đạo đức y tế công cộng toàn cầu không có dữ liệu hay bối cảnh chuyên biệt áp dụng cho Việt Nam.","2026-08-02"
"CANON-00061","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu tổng quan đánh giá sự sẵn sàng thể chế hạ tầng dữ liệu và thách thức triển khai AI y tế công cộng tại VN.","2026-08-02"
"CANON-00064","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Tích hợp DL và LLM chẩn đoán thoái hóa khớp gối thuần hiệu năng kỹ thuật không bàn về quản trị hay đạo đức AI.","2026-08-02"
"CANON-00067","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Thử nghiệm lâm sàng RCT ứng dụng AI tư vấn sức khỏe tại Việt Nam đánh giá tính khả thi và chấp nhận công nghệ y tế.","2026-08-02"
"CANON-00068","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu quản trị triển khai Generative AI trong các bệnh viện Việt Nam phân tích mối lo ngại và cơ chế quản lý rủi ro.","2026-08-02"
"CANON-00071","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu fine tune LLM y tế tiếng Việt có đánh giá an toàn thông tin độ tin cậy và quản trị truyền thông y tế.","2026-08-02"
"CANON-00072","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Thử nghiệm lâm sàng thiết bị đeo cảm biến PPG và thuật toán ML phân loại sốt xuất huyết thuần kỹ thuật không có quản trị.","2026-08-02"
"CANON-00074","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Đánh giá Generative AI tư vấn y tế đa ngôn ngữ có tiếng Việt phân tích an toàn thông tin ảo giác và quản trị chất lượng.","2026-08-02"
"CANON-00077","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu chính sách so sánh khung quản trị AI y tế bảo mật dữ liệu và thể chế pháp lý tại Việt Nam và khu vực ASEAN.","2026-08-02"
"CANON-00079","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Báo cáo thử nghiệm thiết bị đeo cảm biến theo dõi bệnh nhân sốt xuất huyết thuần hiệu năng lâm sàng không có nội dung quản trị.","2026-08-02"
"CANON-00081","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình học máy phân tích dữ liệu sinh học phân tử ung thư tại VN thuần kỹ thuật y sinh không có hợp phần quản trị.","2026-08-02"
"CANON-00083","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX01_NOT_VIETNAM","Hệ thống sàng lọc học máy kỹ thuật không có bối cảnh dữ liệu Việt Nam và không có phân tích quản trị AI.","2026-08-02"
"CANON-00085","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu phát triển công cụ AI hỗ trợ ra quyết định lâm sàng XAI kiểm định tại Việt Nam phân tích tính tin cậy.","2026-08-02"
"CANON-00086","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu về khung đạo đức và quản trị dữ liệu ứng dụng Generative AI trong y học cổ truyền tại Việt Nam và khu vực.","2026-08-02"
"CANON-00088","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình ML dự báo dị ứng thuốc trên bệnh nhân VN thuần kỹ thuật y sinh lâm sàng không bàn về quản trị hay đạo đức AI.","2026-08-02"
"CANON-00089","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Kiểm định lâm sàng ứng dụng DL hỗ trợ an toàn dùng thuốc cho bệnh nhân khiếm thị có tiếng Việt đánh giá an toàn và dịch vụ y tế.","2026-08-02"
"CANON-00092","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình ML dự báo nguy cơ loãng xương ở phụ nữ VN thuần hiệu năng kỹ thuật lâm sàng không có nội dung quản trị hay đạo đức.","2026-08-02"
"CANON-00093","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu trực tiếp về công bằng thuật toán và giảm định kiến AI y tế giữa các nước thu nhập thấp bao gồm VN.","2026-08-02"
"CANON-00094","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình nền tảng phân tích cảm biến thiết bị đeo tim mạch thuần kỹ thuật lâm sàng không có nội dung quản trị hay đạo đức.","2026-08-02"
"CANON-00096","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Công cụ thuật toán phân loại mức độ nghiêm trọng bệnh truyền nhiễm thuần kỹ thuật lâm sàng không chứa hợp phần quản trị.","2026-08-02"
"CANON-00098","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu kinh tế y tế và chính sách thể chế phân tích tác động ngân sách triển khai AI chẩn đoán X quang tại Việt Nam.","2026-08-02"
"CANON-00101","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu chính sách và thể chế quản trị đạo đức AI tại Việt Nam trên tạp chí Policy and Society.","2026-08-02"
"CANON-00105","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu đánh giá sự chấp nhận người dùng và quy trình quản lý vận hành robot y tế tại các bệnh viện Việt Nam.","2026-08-02"
"CANON-00113","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX03_NO_AI","Báo cáo tổng quan thu thập dữ liệu ung thư truyền thống tại Châu Á không đề cập đến Trí tuệ nhân tạo.","2026-08-02"
"CANON-00114","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX01_NOT_VIETNAM","Thử nghiệm thuật toán ML phân tích tiếng ho tầm soát lao phổi toàn cầu không có dữ liệu hay bối cảnh áp dụng cho Việt Nam.","2026-08-02"
"CANON-00118","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX03_NO_AI","Bài bình luận lịch sử quân sự thập niên 1960 không liên quan đến Trí tuệ nhân tạo hay y tế số hiện đại.","2026-08-02"
"CANON-00122","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu trực tiếp về công bằng thuật toán và giảm định kiến AI y tế giữa các nước thu nhập thấp bao gồm VN.","2026-08-02"
"CANON-00123","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX01_NOT_VIETNAM","Thử nghiệm thuật toán ML phân tích tiếng ho tầm soát lao phổi toàn cầu không có dữ liệu hay bối cảnh áp dụng cho Việt Nam.","2026-08-02"
"CANON-00124","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu ứng dụng AI cấp cứu y tế tại Việt Nam phân tích công bằng AI và thách thức triển khai tại các vùng nguồn lực hạn chế.","2026-08-02"
"CANON-00125","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Đề cương nghiên cứu công cụ AI sức khỏe tâm thần tại Việt Nam có phân tích quy trình đạo đức và quản trị dữ liệu tâm lý.","2026-08-02"
"CANON-00134","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX01_NOT_VIETNAM","Nghiên cứu mô hình quản lý rủi ro bảo hiểm y tế tổng quát không có dữ liệu hay bối cảnh áp dụng cho Việt Nam.","2026-08-02"
"CANON-00139","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu khảo sát dịch vụ y tế tích hợp AI tại Việt Nam phân tích niềm tin bệnh nhân và quản lý chất lượng dịch vụ y tế.","2026-08-02"
"CANON-00145","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX01_NOT_VIETNAM","Bài tổng quan AI trong chẩn đoán IVD toàn cầu không có dữ liệu hay bối cảnh áp dụng cho Việt Nam.","2026-08-02"
"CANON-00146","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình ML phát hiện suy dinh dưỡng bệnh nhân thuần kỹ thuật lâm sàng không có hợp phần quản trị hay đạo đức.","2026-08-02"
"CANON-00148","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình ML dự báo gan nhiễm mỡ trên bệnh nhân VN thuần kỹ thuật lâm sàng không có nội dung quản trị hay đạo đức.","2026-08-02"
"CANON-00149","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Đề cương công bố IEEE về công cụ AI sức khỏe tâm thần tại Việt Nam có phân tích quy trình đạo đức và quản trị dữ liệu y tế.","2026-08-02"
"CANON-00150","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình NLP trích xuất ghi chú y khoa dự báo ung thư buồng trứng tại VN thuần kỹ thuật không bàn về quản trị hay đạo đức.","2026-08-02"
"CANON-00151","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu phát triển Foundation Model tiếng Việt GPTViet cho ngành y tế phân tích quản trị mô hình và an toàn dữ liệu.","2026-08-02"
"CANON-00152","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu kiến trúc Agentic AI điều phối quy trình lâm sàng tại bệnh viện VN phân tích phân quyền trách nhiệm và an toàn.","2026-08-02"
"CANON-00157","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX01_NOT_VIETNAM","Kỷ yếu đại hội đạo đức sinh học toàn cầu không có nghiên cứu hay dữ liệu áp dụng trực tiếp cho bối cảnh Việt Nam.","2026-08-02"
"CANON-00166","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu triển khai thiết bị đeo cảm biến sinh hiệu tại ICU Việt Nam phân tích quản trị an toàn bệnh nhân và bảo mật dữ liệu.","2026-08-02"
"CANON-00169","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu AI NLP phân tích sức khỏe tâm thần từ mạng xã hội tiếng Việt phân tích đạo đức quyền riêng tư và bảo mật dữ liệu.","2026-08-02"
"CANON-00171","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu bảo mật AI y tế Differential Privacy bảo vệ dữ liệu X quang bệnh nhân hợp tác quốc tế có dữ liệu Việt Nam.","2026-08-02"
"CANON-00176","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Tổng quan hệ thống về AI dịch thuật y tế hỗ trợ giao tiếp bệnh nhân có tiếng Việt phân tích an toàn lâm sàng và quản trị chất lượng.","2026-08-02"
"CANON-00180","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu tổng quan y tế số về rào cản thể chế chính sách quản lý thiết bị đeo cảm biến y tế số tại Việt Nam.","2026-08-02"
"CANON-00181","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Bài tổng quan phân tích thực trạng triển khai AI nội soi tiêu hóa tại Việt Nam đánh giá khung pháp lý và quản trị an toàn bệnh nhân.","2026-08-02"
"CANON-00182","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình ML dự báo hiệu quả lọc máu cho bệnh nhân chạy thận VN thuần hiệu năng kỹ thuật lâm sàng không có hợp phần quản trị.","2026-08-02"
"CANON-00183","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu Scoping Review về chính sách và chiến lược thể chế triển khai AI tầm soát ung thư tại Việt Nam và các nước ASEAN.","2026-08-02"
"CANON-00184","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Thử nghiệm RCT ứng dụng AI bệnh nhân ảo đào tạo sinh viên y khoa tại Việt Nam đánh giá năng lực AI và đào tạo nhân lực y tế.","2026-08-02"
"CANON-00185","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu khảo sát KAP và định tính về nhận thức rủi ro đạo đức AI và sự chuẩn bị của nhân lực ngành Dược tại Việt Nam.","2026-08-02"
"CANON-00187","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình ML bản đồ dịch tễ học môi trường bệnh sán lá gan thuần kỹ thuật dịch tễ không chứa hợp phần quản trị hay đạo đức.","2026-08-02"
"CANON-00188","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu trực tiếp xây dựng khung quản trị dữ liệu y tế bệnh viện công tại các nước đang phát triển bao gồm Việt Nam.","2026-08-02"
"CANON-00191","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Đề cương nghiên cứu mô hình AI thời gian thực tại Bệnh viện Nhiệt đới VN phân tích quy trình đạo đức IRB và quản lý rủi ro.","2026-08-02"
"CANON-00196","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu công cụ AI XAI hỗ trợ ra quyết định lâm sàng CDSS triển khai tại Việt Nam phân tích độ tin cậy và quản trị an toàn.","2026-08-02"
"CANON-00198","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu mô hình XAI hỗ trợ ra quyết định lâm sàng cho bệnh nhân đột quỵ tại Việt Nam phân tích độ tin cậy và quản trị an toàn.","2026-08-02"
"CANON-00207","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX02_NOT_HEALTHCARE","Nghiên cứu tổng quan an ninh mạng IoT AI trong chuyển đổi số đa ngành tổng quát không thuộc bối cảnh y tế.","2026-08-02"
"CANON-00209","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Báo cáo khung chính sách thể chế Ngân hàng Thế giới về quản trị tích hợp AI trong đào tạo và nhân lực y tế tại Việt Nam.","2026-08-02"
"CANON-00210","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu AAAI 2026 phát triển công cụ XAI giám sát tuân thủ pháp lý y tế đối với quảng cáo thuốc và dịch vụ y tế tại Việt Nam.","2026-08-02"
"CANON-00216","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình ML dự báo tiên lượng lâm sàng bệnh nhân COVID 19 tại VN thuần hiệu năng kỹ thuật không có hợp phần quản trị hay đạo đức.","2026-08-02"
"CANON-00217","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu đề cương xây dựng khung quản trị định kiến thuật toán và đạo đức AI y tế tại các nước thu nhập thấp bao gồm Việt Nam.","2026-08-02"
"CANON-00219","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu ứng dụng LLM ChatGPT dịch thuật hướng dẫn y tế cho bệnh nhân có tiếng Việt phân tích an toàn lâm sàng và quản trị thông tin.","2026-08-02"
"CANON-00221","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình ML bản đồ dịch tễ học môi trường bệnh sán lá gan thuần kỹ thuật dịch tễ không chứa hợp phần quản trị hay đạo đức.","2026-08-02"
"CANON-00222","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu đánh giá triển khai thực tế phần mềm RAPID AI phân tích hình ảnh đột quỵ tại bệnh viện Việt Nam phân tích an toàn lâm sàng.","2026-08-02"
"CANON-00226","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX02_NOT_HEALTHCARE","Nghiên cứu quy trình xử lý thông tin sai lệch trên mạng xã hội tổng quát không thuộc bối cảnh ngành y tế.","2026-08-02"
"CANON-00228","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Mô hình ML dự báo bệnh truyền nhiễm do khí hậu tại Bà Rịa Vũng Tàu thuần kỹ thuật dịch tễ không có hợp phần quản trị hay đạo đức.","2026-08-02"
"CANON-00230","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu Scoping Review trực tiếp phân tích chính sách y tế số và khung quản trị triển khai ứng dụng AI bệnh viện tại Việt Nam.","2026-08-02"
"CANON-00231","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Nghiên cứu kiểm định mô hình ML dự báo COVID 19 tại Việt Nam thuần hiệu năng kỹ thuật lâm sàng không có hợp phần quản trị.","2026-08-02"
"CANON-00232","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Đề cương nghiên cứu y tế số dMOM tại vùng dân tộc thiểu số VN phân tích công bằng tiếp cận công nghệ và quản trị dự án y tế.","2026-08-02"
"CANON-00234","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Phân tích so sánh đánh giá năng lực AI và chính sách y tế số đô thị tại 9 quốc gia Châu Á bao gồm các thành phố tại Việt Nam trên JMIR.","2026-08-02"
"CANON-00235","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu định tính trên JMIR phỏng vấn chuyên gia về thực trạng rào cản thể chế bảo mật và chính sách quản trị AI y tế tại VN.","2026-08-02"
"CANON-00236","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu trực tiếp trên JMIR Medical Education về thách thức đạo đức và khung quản trị ứng dụng AI trong giáo dục y khoa tại Việt Nam.","2026-08-02"
"CANON-00237","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu thử nghiệm ứng dụng LLM dịch thuật tóm tắt khám bệnh có tiếng Việt phân tích an toàn thông tin lâm sàng và quản trị chất lượng.","2026-08-02"
"CANON-00238","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu khảo sát KAP về nhận thức đạo đức AI liêm chính khoa học và sự sẵn sàng công nghệ của sinh viên y khoa tại Việt Nam.","2026-08-02"
"CANON-00239","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu phát triển trợ lý AI y học cổ truyền Việt Nam phân tích chuyên sâu về quản trị an toàn dược học và kiểm soát hallucination.","2026-08-02"
"CANON-00240","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu Scoping Review trực tiếp phân tích chính sách y tế số và khung quản trị triển khai ứng dụng AI bệnh viện tại Việt Nam.","2026-08-02"
"CANON-00241","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX04_NO_ETHICS_GOVERNANCE","Nghiên cứu kiểm định mô hình ML dự báo COVID 19 tại Việt Nam thuần hiệu năng kỹ thuật lâm sàng không có hợp phần quản trị.","2026-08-02"
"CANON-00242","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Đề cương nghiên cứu y tế số dMOM tại vùng dân tộc thiểu số VN phân tích công bằng tiếp cận công nghệ và quản trị dự án y tế.","2026-08-02"
"CANON-00243","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu khảo sát thực tế mức độ chấp nhận công nghệ y tế số tại 5 bệnh viện Việt Nam phân tích rào cản thể chế và chính sách.","2026-08-02"
"CANON-00244","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu định tính phỏng vấn chuyên gia về thực trạng rào cản thể chế bảo mật và chính sách quản trị AI y tế tại VN.","2026-08-02"
"CANON-00245","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu thử nghiệm ứng dụng LLM dịch thuật tóm tắt khám bệnh có tiếng Việt phân tích an toàn thông tin lâm sàng và quản trị chất lượng.","2026-08-02"
"CANON-00247","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Báo cáo chiến lược thể chế trên Bulletin of WHO phân tích chính sách quốc gia và khung quản trị ứng dụng AI y tế tại Việt Nam.","2026-08-02"
"CANON-00248","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu ứng dụng PhoBERT NLP tiếng Việt phân tích triệu chứng hỗ trợ chẩn đoán y tế tại Việt Nam phân tích an toàn thông tin lâm sàng.","2026-08-02"
"CANON-00249","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu Scoping Review trên Tạp chí Khoa học ĐHQGHN phân tích tổng quan thực trạng khung pháp lý và quản trị ứng dụng AI y tế tại Việt Nam.","2026-08-02"
"CANON-00250","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu trên Tạp chí ĐHQGHN về ứng dụng AI Agent trong quản trị vận hành Dược bệnh viện tại Việt Nam phân tích an toàn và đạo đức AI.","2026-08-02"
"CANON-00251","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu khảo sát trên Tạp chí ĐHQGHN về sự sẵn lòng và nhận thức đạo đức bảo vệ dữ liệu trẻ em khi dùng ứng dụng tâm thần số tại VN.","2026-08-02"
"CANON-00252","FULL_TEXT","DAO_TRUNG_THANH","EXCLUDE","EX01_NOT_VIETNAM","Nghiên cứu công bằng khoa học dữ liệu y tế trong bối cảnh cộng đồng tại Úc không thuộc bối cảnh hay dữ liệu của Việt Nam.","2026-08-02"
"CANON-00254","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu khảo sát KAP trên TAPS về việc sử dụng ChatGPT của học viên sau đại học ngành y tế tại Việt Nam và chính sách quản lý.","2026-08-02"
"CANON-00255","FULL_TEXT","DAO_TRUNG_THANH","INCLUDE","","Nghiên cứu ứng dụng AI CDSS hỗ trợ ra quyết định Dược lâm sàng cho bệnh nhân tâm thần tại Việt Nam phân tích an toàn người bệnh.","2026-08-02"
