candidate_id,match_basis,match_value,member_manifestation_ids,member_sources,recommendation,rationale
DUP-C00013,EXACT_TITLE_YEAR,Coronary CT Angiography-Derived Fractional Flow Reserve in Asia and the United S,OPENALEX:W7117967769 | PMID:41494674,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00014,EXACT_TITLE_YEAR,What Are the Opportunities and Challenges of Using AI in Medical Education in Vi,OPENALEX:W4416928963 | PMID:41329943,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00015,EXACT_TITLE_YEAR,Wearable vital-sign sensors for early detection of severe dengue and sepsis: Cli,OPENALEX:W4416112095 | PMID:41234615,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00016,EXACT_TITLE_YEAR,Harnessing artificial intelligence for dengue forecasting in climate-vulnerable ,OPENALEX:W4416146169 | PMID:41232742,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00017,EXACT_TITLE_YEAR,Comparison of serum lactate and lactate-derived ratios as prognostic biomarkers ,OPENALEX:W4415592503 | PMID:41144436,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00018,EXACT_TITLE_YEAR,Assessment of climate change impacts on arsenic contamination in groundwater thr,OPENALEX:W4415493928 | PMID:41134419,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00019,EXACT_TITLE_YEAR,"Reimagining ethnopharmacology with generative AI: Towards inclusive, ethical, an",OPENALEX:W4415341843 | PMID:41120019,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00020,EXACT_TITLE_YEAR,Accelerating Cough-Based Algorithms for Pulmonary Tuberculosis Screening: Result,OPENALEX:W4414368625 | PMID:41064697,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00021,EXACT_TITLE_YEAR,Accuracy of Artificial Intelligence vs Professionally Translated Discharge Instr,OPENALEX:W4414280387 | PMID:40960827,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00022,EXACT_TITLE_YEAR,Machine learning-based models for prediction of in-hospital mortality in patient,OPENALEX:W4408211375 | PMID:40881211,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00023,EXACT_TITLE_YEAR,Transfer Learning Enhances Neurological Outcome Prediction for Out-of-Hospital C,OPENALEX:W4413050530 | PMID:40776317,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00024,EXACT_TITLE_YEAR,"Ecological epidemiology insights into clonorchiosis endemicity in Guangxi, China",OPENALEX:W4412684559 | PMID:40721799,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00025,EXACT_TITLE_YEAR,Insights Into the Current and Future State of AI Adoption Within Health Systems ,OPENALEX:W4410252116 | PMID:40523280,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00026,EXACT_TITLE_YEAR,STEMI-OP in-hospital mortality prediction algorithms: Frailty-integrated machine,OPENALEX:W4411080095 | PMID:40480990,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00027,EXACT_TITLE_YEAR,Machine Learning Nomogram for Predicting Dengue Shock Syndrome in Pediatric Pati,OPENALEX:W4409209905 | PMID:40337565,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00028,EXACT_TITLE_YEAR,Artificial intelligence utilization in cancer screening program across ASEAN: a ,OPENALEX:W4409451065 | PMID:40234807,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00029,EXACT_TITLE_YEAR,Circulating lncRNAs as biomarkers for severe dengue using a machine learning app,OPENALEX:W4408427454 | PMID:40090592,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00030,EXACT_TITLE_YEAR,Fine-tuning large language models for improved health communication in low-resou,OPENALEX:W4407393353 | PMID:39987667,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00031,EXACT_TITLE_YEAR,"Generative AI chatbots for reliable cancer information: Evaluating web-search, m",OPENALEX:W4407095344 | PMID:39922126,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00032,EXACT_TITLE_YEAR,Application of artificial intelligence in gastrointestinal endoscopy in Vietnam:,OPENALEX:W4405765146 | PMID:39734422,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00033,EXACT_TITLE_YEAR,Mapping of high-resolution daily particulate matter (PM(2.5)) concentration at t,OPENALEX:W4405692007 | PMID:39714636,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00034,EXACT_TITLE_YEAR,A machine learning-based risk score for prediction of mechanical ventilation in ,OPENALEX:W4405104656 | PMID:39642139,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00035,EXACT_TITLE_YEAR,Effectiveness of artificial intelligence for diabetic retinopathy screening in c,OPENALEX:W4402526630 | PMID:39430352,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00036,EXACT_TITLE_YEAR,Factors associated with 90-day mortality in Vietnamese stroke patients: Prospect,OPENALEX:W4402676003 | PMID:39302916,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00037,EXACT_TITLE_YEAR,A simple nomogram to predict dengue shock syndrome: A study of 4522 south east A,OPENALEX:W4401717407 | PMID:39165074,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00038,EXACT_TITLE_YEAR,Mitigating machine learning bias between high income and low-middle income count,OPENALEX:W4391515285 | OPENALEX:W4399492816 | PMID:38858466,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00039,EXACT_TITLE_YEAR,Towards a machine-learning assisted non-invasive classification of dengue severi,OPENALEX:W4399129797 | PMID:38815363,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00040,EXACT_TITLE_YEAR,"Applying artificial intelligence and digital health technologies, Viet Nam.",OPENALEX:W4382919153 | PMID:37397176,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00041,EXACT_TITLE_YEAR,The Utilization of Machine Learning Algorithms for Assisting Physicians in the D,OPENALEX:W4380988014 | PMID:37370981,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00042,EXACT_TITLE_YEAR,Development and Asian-wide validation of the Grade for Interpretable Field Triag,OPENALEX:W4323074472 | PMID:37283981,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00043,EXACT_TITLE_YEAR,Adapting and Scaling a Digital Health Intervention to Improve Maternal and Child,OPENALEX:W4362712530 | PMID:37058576,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00044,EXACT_TITLE_YEAR,Multi-output machine learning model for regional air pollution forecasting in Ho,OPENALEX:W4321595697 | PMID:36842381,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00045,EXACT_TITLE_YEAR,Applied machine learning for the risk-stratification and clinical decision suppo,OPENALEX:W4206827170 | PMID:36812518,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00046,EXACT_TITLE_YEAR,Multidimensional Machine Learning for Assessing Parameters Associated With COVID,OPENALEX:W4317347026 | PMID:36668902,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00047,EXACT_TITLE_YEAR,"Measuring adherence, acceptability and likability of an artificial-intelligence-",OPENALEX:W4311631211 | PMID:36561922,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00048,EXACT_TITLE_YEAR,Predicting the risk of osteoporosis in older Vietnamese women using machine lear,OPENALEX:W4309865374 | PMID:36418408,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00049,EXACT_TITLE_YEAR,Quantifying mangrove leaf area index from Sentinel-2 imagery using hybrid models,OPENALEX:W4221070098 | PMID:36386862,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00050,EXACT_TITLE_YEAR,Classification of Tetanus Severity in Intensive-Care Settings for Low-Income Cou,OPENALEX:W4293715374 | PMID:36081013,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00051,EXACT_TITLE_YEAR,Sepsis Mortality Prediction Using Wearable Monitoring in Low-Middle Income Count,OPENALEX:W4280531286 | PMID:35632275,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00052,EXACT_TITLE_YEAR,Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review.,OPENALEX:W4210885547 | PMID:35138264,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00053,EXACT_TITLE_YEAR,The Impact of Cultural Dimensions of Clinicians on the Adoption of Artificial In,OPENALEX:W4207093336 | PMID:35062809,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00054,EXACT_TITLE_YEAR,Cory COVID-Bot: An Evidence-Based Behavior Change Chatbot for COVID-19.,OPENALEX:W4205118783 | PMID:35062181,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00055,EXACT_TITLE_YEAR,Performance evaluation of nanotubular halloysites from weathered pegmatites in r,OPENALEX:W3169122073 | PMID:34118630,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00056,EXACT_TITLE_YEAR,Severity detection tool for patients with infectious disease.,OPENALEX:W2996312388 | PMID:32431851,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00057,EXACT_TITLE_YEAR,Cross-serotype interactions and disease outcome prediction of dengue infections ,OPENALEX:W2956118262 | PMID:31253823,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00058,EXACT_TITLE_YEAR,Artificial Intelligence vs. Natural Stupidity: Evaluating AI readiness for the V,OPENALEX:W2911578273 | PMID:30717268,OPENALEX | PUBMED,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00059,EXACT_TITLE_YEAR,LEGAL CHALLENGES IN THE ERA OF ARTIFICIAL INTELLIGENCE REGARDING PATIENTS' RIGHT,OPENALEX:W7159973139 | OPENALEX:W7159975701,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00060,EXACT_TITLE_YEAR,ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for ,OPENALEX:W7128506310 | OPENALEX:W7128555477 | OPENALEX:W7164387246,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00061,EXACT_TITLE_YEAR,Comprehensive Overview of Artificial Intelligence Applications in Biomedical Res,OPENALEX:W7147014134 | OPENALEX:W7147191292,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00062,EXACT_TITLE_YEAR,PSF-Med: Measuring and Explaining Paraphrase Sensitivity in Medical Vision Langu,OPENALEX:W7131655899 | OPENALEX:W7131731536,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00063,EXACT_TITLE_YEAR,Machine learning models for predicting hospital readmission due to cardiovascula,OPENALEX:W7142353544 | OPENALEX:W7160627606 | OPENALEX:W7162202752,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00064,EXACT_TITLE_YEAR,Developing an AI-Enhanced Individualized Prediction Tool for Psychopathological ,OPENALEX:W4413009419 | OPENALEX:W7138931663,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00065,EXACT_TITLE_YEAR,A Hybrid Architecture for Multi-Stage Claim Document Understanding: Combining Vi,OPENALEX:W7118783085 | OPENALEX:W7119234883,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00066,EXACT_TITLE_YEAR,Toward Pre-Deployment Assurance for Enterprise AI Agents: Ontology-Grounded Simu,OPENALEX:W7163583691 | OPENALEX:W7163777289,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00067,EXACT_TITLE_YEAR,Trustworthy RF/Microwave Biomedical AI: Information Fusion and Evaluation Design,OPENALEX:W7159928339 | OPENALEX:W7159931699 | OPENALEX:W7159954887 | OPENALEX:W7160391157,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00068,EXACT_TITLE_YEAR,"PREreview of ""Diagnostic Accuracy and Potential Resource Savings of Pooled Sputu",OPENALEX:W7153986709 | OPENALEX:W7154084917 | OPENALEX:W7154140122 | OPENALEX:W7154143679,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00069,EXACT_TITLE_YEAR,From Data to Decisions: An AI/IT Intelligence Architecture for Asset-Light Inter,OPENALEX:W7170153913 | OPENALEX:W7170183232,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00070,EXACT_TITLE_YEAR,"PREreview of ""Long-read sequencing of Mycobacterial tuberculosis is comparable t",OPENALEX:W7159940502 | OPENALEX:W7159982790,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00071,EXACT_TITLE_YEAR,"PREreview of ""SARS-CoV-2 Introductions into Lao PDR Revealed by Genomic Surveill",OPENALEX:W7161490122 | OPENALEX:W7161495963,OPENALEX,CANONICALIZATION_REVIEW_REQUIRED,Identical title and year string without verified shared DOI/PMID/OpenAlex ID. Requires human/codebook fulltext verification before merging.
DUP-C00072,PMID,35062809,OPENALEX:W4207093336 | PMID:35062809,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00073,DOI | PMID,10.1001/jamanetworkopen.2025.32312,OPENALEX:W4414280387 | PMID:40960827,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00074,DOI | PMID,10.1002/jmv.29874,OPENALEX:W4401717407 | PMID:39165074,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00075,DOI | PMID,10.1007/s00484-026-03241-1,OPENALEX:W7163924730 | PMID:42258012,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00076,DOI | PMID,10.1007/s10653-025-02837-7,OPENALEX:W4415493928 | PMID:41134419,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00077,DOI | PMID,10.1007/s10661-024-13562-6,OPENALEX:W4405692007 | PMID:39714636,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00078,DOI | PMID,10.1007/s10803-026-07227-1,OPENALEX:W7125482525 | PMID:41575711,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00079,DOI | PMID,10.1016/j.actatropica.2025.107909,OPENALEX:W4416146169 | PMID:41232742,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00080,DOI | PMID,10.1016/j.afos.2026.01.002,OPENALEX:W7128002164 | PMID:41969604,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00081,DOI | PMID,10.1016/j.chemosphere.2021.131012,OPENALEX:W3169122073 | PMID:34118630,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00082,DOI | PMID,10.1016/j.cmpb.2025.108655,OPENALEX:W4407393353 | PMID:39987667,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00083,DOI | PMID,10.1016/j.ebiom.2024.105164,OPENALEX:W4399129797 | PMID:38815363,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00084,DOI | PMID,10.1016/j.ejca.2025.115274,OPENALEX:W4407095344 | PMID:39922126,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00085,DOI | PMID,10.1016/j.envint.2023.107848,OPENALEX:W4321595697 | PMID:36842381,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00086,DOI | PMID,10.1016/j.jinf.2025.106471,OPENALEX:W4408427454 | PMID:40090592,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00087,DOI | PMID,10.1016/j.lanwpc.2023.100733,OPENALEX:W4323074472 | PMID:37283981,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00088,DOI | PMID,10.1016/j.phrs.2025.108002,OPENALEX:W4415341843 | PMID:41120019,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00089,DOI | PMID,10.1016/j.waojou.2026.101408,OPENALEX:W7163188207 | PMID:42292762,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
