"record_id","discovery_channel","query_id","title","year","doi_or_url","publication_status","country_scope","topic_scope","screened_field","decision","exclusion_reason","notes","screened_on"
"OA-FS2-022","OpenAlex focused title-abstract scan","FS2","Trustworthy RF/Microwave Biomedical AI: Information Fusion and Evaluation Design for Clinical Translation","2026","10.5281/zenodo.20045135","dataset","global","biomedical AI evaluation design","title+OpenAlex metadata","DUPLICATE","duplicate","FS2 rank 22; duplicate version of OA-FS2-016","2026-07-31"
"OA-FS2-023","OpenAlex focused title-abstract scan","FS2","Worker Well‐Being, Human Factors and the Gig Economy: Interdisciplinary Perspectives","2026","10.1111/bjir.70059","published article","global","work and gig economy","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 23","2026-07-31"
"OA-FS2-024","OpenAlex focused title-abstract scan","FS2","Guest editorial: Defining new frontiers of business research across Asian countries","2026","10.1108/JABS-04-2026-702","editorial","Asia","business research","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 24","2026-07-31"
"OA-FS2-025","OpenAlex focused title-abstract scan","FS2","Index","2022","10.1108/978-1-80262-637-7_2022_1018","paratext","not applicable","book index","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 25; generic title retained because DOI differs","2026-07-31"
"OA-FS2-026","OpenAlex focused title-abstract scan","FS2","Index","2022","10.1108/978-1-80117-226-4_2022_1017","paratext","not applicable","book index","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 26; generic title retained because DOI differs","2026-07-31"
"OA-FS2-027","OpenAlex focused title-abstract scan","FS2","Index","2023","10.1108/978-1-80262-277-5_2023_1024","paratext","not applicable","book index","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 27; generic title retained because DOI differs","2026-07-31"
"OA-FS2-028","OpenAlex focused title-abstract scan","FS2","Guest editorial: Sustainability management from a behavioral perspective in hospitality and tourism","2025","10.1108/JHTI-09-2025-995","editorial","global","hospitality and tourism","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 28","2026-07-31"
"OA-FS2-029","OpenAlex focused title-abstract scan","FS2","Guest editorial: Beyond Industry 4.0: humancentricity, resilience and sustainability in the age of digital transformation","2026","10.1108/JSMA-08-2026-526","editorial","global","industry and digital transformation","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 29","2026-07-31"
"OA-FS2-030","OpenAlex focused title-abstract scan","FS2","Regular Issue","2021","10.35940/ijitee.10.4","paratext","not applicable","journal issue","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 30","2026-07-31"
"OA-FS2-031","OpenAlex focused title-abstract scan","FS2","Growing A Greener Future: Sustainable Practices in Agriculture","2026","10.70593/978-93-7185-755-0","book","global","agriculture","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 31","2026-07-31"
"OA-FS2-032","OpenAlex focused title-abstract scan","FS2","Children and Families: Everyday Digital Media Culture","2025","10.1111/chso.70003","published article","global","children and digital media","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 32","2026-07-31"
"OA-FS2-033","OpenAlex focused title-abstract scan","FS2","Index","2022","10.1108/978-1-83982-900-0_2021_1035","paratext","not applicable","book index","title+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS2 rank 33; generic title retained because DOI differs","2026-07-31"
"OA-FS3-001","OpenAlex review-specific top-N scan","FS3-TOP20","SHIFTing artificial intelligence to be responsible in healthcare: A systematic review","2022","10.1016/j.socscimed.2022.114782","published review","global","responsible AI in healthcare","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong geography","FS3 rank 1 of top 20/151; methodological near-match but no national Vietnam corpus","2026-07-31"
"OA-FS3-002","OpenAlex review-specific top-N scan","FS3-TOP20","Challenges and barriers of using large language models (LLM) such as ChatGPT for diagnostic medicine with a focus on digital pathology – a recent scoping review","2024","10.1186/s13000-024-01464-7","published review","global","LLM in diagnostic pathology","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS3 rank 2 of top 20/151","2026-07-31"
"OA-FS3-003","OpenAlex review-specific top-N scan","FS3-TOP20","Advancing healthcare AI governance through a comprehensive maturity model based on systematic review","2026","10.1038/s41746-026-02418-7","published review","global","healthcare AI governance frameworks and maturity","title+abstract+full text","INCLUDE_COMPARATOR","","FS3 rank 3 of top 20/151; closest operational governance comparator","2026-07-31"
"OA-FS3-004","OpenAlex review-specific top-N scan","FS3-TOP20","Ethics of AI in healthcare: a scoping review demonstrating applicability of a foundational framework","2025","10.3389/fdgth.2025.1662642","published review","global","AI ethics framework applicability","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong geography","FS3 rank 4 of top 20/151; no national policy corpus","2026-07-31"
"OA-FS3-005","OpenAlex review-specific top-N scan","FS3-TOP20","Advancing Healthcare AI Governance: A Comprehensive Maturity Model Based on Systematic Review","2024","10.1101/2024.12.30.24319785","preprint","global","healthcare AI governance frameworks and maturity","title+abstract+OpenAlex metadata","DUPLICATE","duplicate","FS3 rank 5 of top 20/151; preprint version of OA-FS3-003","2026-07-31"
"OA-FS3-006","OpenAlex review-specific top-N scan","FS3-TOP20","Navigating ethical considerations in the use of artificial intelligence for patient care: A systematic review","2024","10.1111/inr.13059","published review","global nursing context","AI ethics in nursing and patient care","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS3 rank 6 of top 20/151; profession-specific ethics rather than national governance","2026-07-31"
"OA-FS3-007","OpenAlex review-specific top-N scan","FS3-TOP20","Advancing AI governance with a unified theoretical framework: a systematic review","2025","10.1093/ppmgov/gvaf013","published review","global cross-sector","general AI governance","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS3 rank 7 of top 20/151; not health-specific national evidence","2026-07-31"
"OA-FS3-008","OpenAlex review-specific top-N scan","FS3-TOP20","A Systematic Review and Analysis of Ethical Challenges of Generative Ai: An Interdisciplinary Perspective","2024","10.2139/ssrn.4833030","preprint","global cross-sector","generative AI ethics","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS3 rank 8 of top 20/151; no healthcare-national governance focus","2026-07-31"
"OA-FS3-009","OpenAlex review-specific top-N scan","FS3-TOP20","Inherent Bias in Electronic Health Records: A Scoping Review of Sources of Bias","2024","10.1101/2024.04.09.24305594","preprint","global","bias in electronic health records","title+abstract+OpenAlex metadata","DUPLICATE","duplicate","FS3 rank 9 of top 20/151; preprint version of final journal record OA-FS3-017","2026-07-31"
"OA-FS3-010","OpenAlex review-specific top-N scan","FS3-TOP20","Governance for safe and responsible AI in healthcare organisations: a scoping review of frameworks","2026","10.1038/s41746-026-02679-2","published review","global with Australian organizational objective","AI governance frameworks in healthcare organizations","title+abstract+full text","INCLUDE_COMPARATOR","","FS3 rank 10 of top 20/151; closest organizational governance comparator","2026-07-31"
"OA-FS3-011","OpenAlex review-specific top-N scan","FS3-TOP20","Scoping Review: Legal and Ethical Principles of Artificial Intelligence in Public Health","2023","10.3233/SHTI230579","published review","global","legal and ethical AI principles in public health","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong geography","FS3 rank 11 of top 20/151; no national Vietnam policy output","2026-07-31"
"OA-FS3-012","OpenAlex review-specific top-N scan","FS3-TOP20","The real-world impact of artificial intelligence ethics frameworks across a decade in healthcare: a scoping review","2025","10.1093/jamia/ocaf167","published review","global","real-world impact of AI ethics frameworks","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong geography","FS3 rank 12 of top 20/151; important evidence-monitoring near-match but no Vietnam national corpus","2026-07-31"
"OA-FS3-013","OpenAlex review-specific top-N scan","FS3-TOP20","Generative Artificial Intelligence (GenAI) in Business: A Systematic Review on the Threshold of Transformation","2024","10.58769/joinssr.1597110","published review","global cross-sector","generative AI in business","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong topic","FS3 rank 13 of top 20/151","2026-07-31"
"OA-FS3-014","OpenAlex review-specific top-N scan","FS3-TOP20","Scoping Review Shows the Dynamics and Complexities Inherent to the Notion of “Responsibility” in Artificial Intelligence within the Healthcare Context","2024","10.1007/s41649-024-00292-7","published review","global","responsibility in healthcare AI","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong geography","FS3 rank 14 of top 20/151; conceptual responsibility review without Vietnam country output","2026-07-31"
"OA-FS3-015","OpenAlex review-specific top-N scan","FS3-TOP20","Novel machine learning applications in peripartum care: a scoping review","2025","10.1016/j.ajogmf.2025.101612","published review","global","machine learning in peripartum care","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","application-only","FS3 rank 15 of top 20/151","2026-07-31"
"OA-FS3-016","OpenAlex review-specific top-N scan","FS3-TOP20","The AI-Powered Healthcare Ecosystem: Bridging the Chasm Between Technical Validation and Systemic Integration—A Systematic Review","2025","10.3390/fi17120550","published review","global","AI integration in healthcare","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","no governance","FS3 rank 16 of top 20/151; implementation synthesis without national governance corpus","2026-07-31"
"OA-FS3-017","OpenAlex review-specific top-N scan","FS3-TOP20","Inherent Bias in Electronic Health Records: A Scoping Review of Sources of Bias","2025","10.1145/3757924","published review","global","bias in electronic health records","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","no governance","FS3 rank 17 of top 20/151; final journal version retained over preprint OA-FS3-009","2026-07-31"
"OA-FS3-018","OpenAlex review-specific top-N scan","FS3-TOP20","A Systematic Review of AI-Driven Innovations in Drug Development, Precision Medicine, and Healthcare","2025","10.69613/nvj8x122","published review","global","AI applications in drug development and care","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","application-only","FS3 rank 18 of top 20/151","2026-07-31"
"OA-FS3-019","OpenAlex review-specific top-N scan","FS3-TOP20","Ethical and privacy challenges of integrating generative AI into EHR systems in Tanzania: A scoping review with a policy perspective","2025","10.1177/20552076251344385","published review","Tanzania","generative AI EHR ethics and policy","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong geography","FS3 rank 19 of top 20/151; useful country-design analogue but does not answer Vietnam","2026-07-31"
"OA-FS3-020","OpenAlex review-specific top-N scan","FS3-TOP20","Frameworks encompassing intersectional perspective of artificial intelligence in healthcare. Scoping review","2025","10.1016/j.puhip.2025.100713","published review","global","intersectional bias in healthcare AI frameworks","title+abstract+OpenAlex metadata","EXCLUDE_NEAR_MATCH","wrong geography","FS3 rank 20 of top 20/151; no national Vietnam corpus","2026-07-31"
"MAN-ALAMI-2026","mandatory title and citation verification","MANDATORY","Artificial Intelligence Governance in Health Systems: Systematic Review of Frameworks and Integrative Model Proposal","2026","10.2196/87448","published review","global","AI governance frameworks in health systems","title+abstract+full text","INCLUDE_COMPARATOR","","Mandatory comparator; strong actor/authority/process overlap, no Vietnam country synthesis","2026-07-31"
"MAN-TRAN-2022","mandatory title and citation verification","MANDATORY","Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review","2022","10.2196/32392","published review","Vietnam","digital health research and policy for hospital care","title+abstract+full text","INCLUDE_COMPARATOR","","Mandatory Vietnam comparator; policy snapshot through end 2020, AI is a minor component","2026-07-31"
"MAN-VNU-2025","mandatory title and citation verification","MANDATORY","Application of Artificial Intelligence in Healthcare in Vietnam: A Scoping Review of Current Status and Future Research Directions","2025","10.25073/2588-1132/vnumps.4799","published review","Vietnam","AI healthcare application landscape","title+abstract+full text","INCLUDE_COMPARATOR","","Mandatory Vietnam comparator; 37 application studies from 2018–2024","2026-07-31"
"MAN-WANGM-2026","mandatory title and horizon verification","MANDATORY","Mapping National Governance of AI for Health: Protocol for a Global Scoping Review","2026","10.2196/88970","protocol","global national-policy corpus; Vietnam eligibility possible","national AI-for-health governance policies","title+abstract+full text","INCLUDE_COMPARATOR","","Methodological overlap strong; Vietnam result overlap unknown; protocol retained as competitive horizon, not treated as published results","2026-07-31"
